date,prolific_id,story,persp,p_type,1,q1,2,q2,3,q3,4,q4,5,q5,6,q6,7,q7,8,q8
2020-12-02,5e870606f9dd66349540b880,11,10,2,""" not sure""",,"""unfamiliar""",,"""burger""",,"""not sure""",,"""not sure""",,"""figure out career path on his own""",,"""no, the woman said they should stay together and figure something out""",,"""sadie wants her polaroid camera and beatles poster""",
2020-12-02,5ea611dda778214a5e89fbf2,11,1,0,"""chequered floors""",,"""have funky names, and are laminated """,,"""thomas orders a burger , cant remeber what sadie ordered """,,"""sadie didnt get to eat, thomas didnt like his burger """,,""" a while""",,"""he wants to concentrate on his career""",,"""no she does not want to be broken up with, she said they could change their hanging out pattern to suit his needs""",,"""thomas""",
2020-12-02,5d305152b2cfe00019231a2a,11,1,0,"""Black and white tiles on the floor.""",,"""Lamenated posters with food items on them.""",,"""Ruben and BLT""",,"""Thomas disliked the food and Sadie left before trying it.""",,"""A few months""",,"""Not enough time could be spent in the future together due to Thomas wanting to find a new job.""",,"""I do not believe Sadie wanted to break up and the reason is that it could still work, just spend less time together.""",,"""Sadie wants her polaroid camera and beetles poster""",
2020-12-02,561bbdf9811d22000df3138a,11,1,1,"""I think it was 1950s inspired with black checkerboard patterns. """,,"""They were average looking""",,"""Thomas ordered a burger and Sadie got a Rueben. """,,"""Thomas thought his tasted fishy and we do not know what Sadie thought because she left before eating. """,,""" 2 months""",,"""His work is getting very buys and he is thinking about changing careers. """,,"""Not at first, they suggest hanging out less and giving each other more space""",,"""Saddie wants her Beatles poster and something else. """,
2020-12-02,5f6f98d7e8a28b532f5a99d9,11,1,1,"""the restaurant was decorated beautifully with tiled floor""",,"""the menu printed in a laminated booklet""",,"""burger""",,"""the food tasted awful""",,"""3 years""",,"""because of his career""",,"""she does not the breakup becuse thomas wants to focus on his career""",,"""sadie""",
2020-12-02,5f310597fa30e40469c8da6e,11,10,2,""" nicely decorated""",,"""fast food type""",,"""burgers""",,"""taste bad""",,,,"""for better career""",,"""Sadie wants to break up.  Because she was tensed about her career.""",,,
2020-12-02,5c3341bc21f99c000175c5cc,11,1,0,""" Like a vintage diner with black and white checkered floors and vinyl booths.""",,"""Laminated with silly names for all of the food.""",,"""Thomas orders a burger with no tomato, and Sadie orders a Reuben.""",,"""Thomas thinks his tastes fishy and Sadie left with hers so we don""",,"""a couple of months""",,"""needs to find his career path on his own.""",,"""No. They can help and support each other if they stay together.""",,"""Sadie wants her Polaroid camera and Beatles poster.""",
2020-12-02,56b4b565b2de2a000d3316ba,11,1,0,"""Dark, I cant remember""",,"""laminated posters with silly names""",,"""A burger and fries and a Reuben""",,"""Thomas didnt like his Sadie didnt even eat""",,""" I dont remember""",,"""His career""",,"""No because she thought they were happy""",,"""Sadie""",
2020-12-02,5f58fdc20fcd710ce090cdc1,11,1,0,""" num_8 """,,"""num_6""",,"""num_8""",,"""num_num_1""",,"""num_9""",,"""focusein in thomas carrer""",,"""num_7""",,"""num_1""",
2020-12-02,5c2b4b959f18a9000179a141,11,1,0,"""with checkered tiles""",,"""fancy""",,"""the same as the other person""",,"""it was okay""",,"""6 months""",,"""conflicts of time apart""",,"""no, they wanted to make it work""",,"""sadie""",
