StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q9 - Parent Topics,Q9 - Topics
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Prolific ID,Gender,Ethnicity (check one),Race (check all that apply),What is your age?,Is English your first language?,"For the final part of the experiment, please recall the story to the best of your ability. Describe the story you heard with as many details as you can remember.",Did you encounter any problem with the experiment or do you have any comments?,Q9 - Parent Topics,Q9 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID9_TEXT_61ee71e04bf448269ba71b2aParTopics""}","{""ImportId"":""QID9_TEXT_61ee71e04bf448269ba71b2aTopics""}"
2020-05-06 16:59:52,2020-05-06 17:04:44,IP Address,100,292,True,2020-05-06 17:04:44,R_24GnkjtqDeVc70c,anonymous,EN,5d80f95b43119f0015986eb1,Male,Not Hispanic or Latino,White,22,No,"Two women goes into a big grocery store. They chat a little bit at first and then a man tries to sell them cheese/crackers. The two women buys the cheese and crackers in a lane. There were 10 lanes. The things they bought cost 23 dollars. After that, they talked about some deal that were going to make them 20.000 dollars.",,,
2020-05-06 17:11:11,2020-05-06 17:24:07,IP Address,100,776,True,2020-05-06 17:24:07,R_2qBLPC7aoT7nLwc,anonymous,EN,5ea07ccfcc5aed04bc7e4148,Male,Hispanic or Latino,White,20,No,"Thomas was waiting for Sadie inside a restaurant, that was similar to a diner from the 80's. He asked the waitress for a table in the back of the restauraunt. Then he said to Sadie that he wanted to break up with her. He wanted more time to organize his life. Right after, the waitress asked them if they had already chosen but they haven't seen the menu yet. She asked the waitress her opinion on a burguer and chose that one, and he chose a hamburguer with no tomato. Once the waitress left, she tried to convince him not to break up  but he had already decided that he wanted to break up. She started crying and some other costumers started looking at them. Then, she stormed off and said she wanted her polaroid camera and her poster. He tried his burguer but wasn't very tasty, and he wondered if the bad taste was due to the restaurant.","I usually name the return key as enter, so in the beginning I lost some time looking for the ""return key""",,
2020-05-07 16:47:59,2020-05-07 16:51:08,IP Address,100,188,True,2020-05-07 16:51:08,R_sbQRUOtxsePN4Jj,anonymous,EN,5c4271f51b4bf300018b0920,Male,Not Hispanic or Latino,White,20,No,"Leon found a girl he tought he already met before. In the history class he gives her a note to ask if she was from LA. After that he asks her to go walk with him that evening, then their professor tells them they have a quiz next friday about those mummies and she has to leave to go to her next class.",,,
2020-05-07 16:56:37,2020-05-07 17:05:18,IP Address,100,520,True,2020-05-07 17:05:18,R_210Y2SSVTjSo94D,anonymous,EN,5c1cfb57e2d9150001b5975b,Male,Not Hispanic or Latino,White,21,No,"A couple enters to a grocery store and I think, it's full of people, and the main goal for the man is to purpose for marriage. Then among the people that are buying fruit, he asks her, while their friends are seeing and taking pictures in the background, and she says ""yes"" and all people start filming and taking pictures. Then she calls to her mother. Then they left the grocery store, with 14 dollars (I think) of groceries and paying with cash. Finally they go out wondering where to celebrate.","No, just thanks for letting me be part of this survey.",,
2020-05-08 18:07:52,2020-05-08 18:13:35,IP Address,100,342,True,2020-05-08 18:13:35,R_0HTFlALufRVLfgt,anonymous,EN,5cdeaeb3557fbd00018a2c59,Female,Not Hispanic or Latino,White,23,No,"The guy walks into the lecture hall and sees Ariana, and immediately feels like she's very familiar. They all sit down, the professor starts talking about mummification, meanwhile the two start exchanging notes. He asks her if she's from LA, because she looks very familiar. I do not remember how she replies, but this goes on until he asks her to meet the evening for a walk, which she agrees by looking at him and nodding. Meanwhile the professor still teaches his lesson. The period ends, the professor speaks of the assignment about mummification and everyone leaves except the two. I do not remember what they say, except that the guy's conviction is even stronger after he hears her voice.","I did not encounter any issues. This was very interesting, thank you very much for the opportunity!",,
2020-05-08 18:17:34,2020-05-08 18:23:25,IP Address,100,350,True,2020-05-08 18:23:26,R_1mIAugKWyOQtw0n,anonymous,EN,5d0e2a06facd7500197a46e3,Male,Not Hispanic or Latino,White,19,Yes,"Senna and his fiancee went to a restaurant to supposably commemorate on the new tomatoes that they grew but Senna's plan was to purpose to her on that day. They ordered what they wanted to eat and they started to talk about how they met and more. Then after they ate the attendant gave Senna's fiancee a cake with the wedding ring on top of it, and thats when Senna purposed to her in which she replied with a ""Yes"" and the other clients started applauding.",,,
2020-05-08 18:21:34,2020-05-08 18:28:14,IP Address,100,399,True,2020-05-08 18:28:14,R_C801d3d41NU4DCx,anonymous,EN,5e84ab6c1c387d0424a1b662,Male,Hispanic or Latino,White,20,No,The couple had just finished the fairs and were at the airport when Jessie say that she wants to end rhe relationship because she thinks their personalities are not compatible. The boyfriend is speechless and continues to walk. When they got on the plane they stayed in separate places but before sitting down Jessie shakes her boyfriend's hand and wishes him a good trip and ends up asking for her philosophy books back,No,,
2020-05-11 13:51:26,2020-05-11 13:52:59,IP Address,100,92,True,2020-05-11 13:52:59,R_2YaE0c9BO1cT9Sz,anonymous,EN,5ce5b9844cd8130019acba32,Female,Not Hispanic or Latino,White,32,Yes,"arrived at the airport, went through the security, Calvin took of his belt and the conveyor belt not working. Calvin said he wanted to break up and he had been thinking about it. Both were sat in the economy section",none,,
2020-05-11 13:56:19,2020-05-11 14:05:55,IP Address,100,576,True,2020-05-11 14:05:55,R_2xY6bGmdkJNffGp,anonymous,EN,597cb71cd4e83700016c35b2,Female,Not Hispanic or Latino,White,23,Yes,"A man and his girlfriend go to the grocery store, he's a sweating mess. The store is bright and sunny and full of people thanksgiving shopping with turkey and pie in their carts. He's planning to propose and is thinking she'll love the surprise, she loves surprises a lot. Girlfriend (Nicole? Lisa?) picks out something (vinegar?) and is looking at other stuff while man stares at ring in its box. She asks him if they need anything else, he says I don't know honey. Cuts to her perspective for a while she thinks he looks freaked out but assumes he'll tell her what's up eventually. They go to the checkout line to pay for stuff, he sees his friends outside. They walk over. He proposes (will you marry me, i love you, some other stuff), their friends walk over more and stop trying to hide. People in checkout line and their friends have started to video on their phones. After a few moments of suspense girlfriend says yes. He puts the ring on, she's practically spinning with excitement, she exclaims at the sparkliness of the ring while shoving it in a strangers face. The people in line let them move up to the front, gf texts picture of ring to her mother. Man pays for items in cash, they leave with their friends and will decide where to go to celebrate the engagement. ",n/a,,
2020-05-11 14:08:48,2020-05-11 14:12:37,IP Address,100,228,True,2020-05-11 14:12:37,R_ZzcXjb4pu97Az73,anonymous,EN,5cf0a300b094d700183e4d54,Male,Not Hispanic or Latino,Asian,25,Yes,"Two people meet inside a grocery store, which is very steely and cold/large. It looks like a factory. They are in the soups area when they strike up a conversation about chicken toys. They then hit it off, talking and laughing, and go to lane 8 to pay for their foods. The total is around 50 dollars, and Simon pays for the food with a credit card. He also asks the girl on a date, to go out for dinner. She gladly says yes, and the cashier is rolling their eyes, but then she realizes she is late for a dinner party as it is 4:35 PM. She leaves.","No, there were no issues, except sometimes when I tried to hit the question mark, it said SLASH instead, and the : symbol was 'SEMICOLON' instead.",,
2020-05-12 13:11:57,2020-05-12 13:20:18,IP Address,100,500,True,2020-05-12 13:20:18,R_2y1nFrwwqoCmdLz,anonymous,EN,5e7b804f9379140478c688da,Male,Not Hispanic or Latino,White,24,Yes,"2 people went into a restaurant, the man explained who he was and the waiter winked at him slyly and sat them down, while the women was in the powder room, unaware of what was going on the man was making sure the plans for the evening would run smoothly. 

They received menus that were very small whilst also being very descriptive, but with no price, they ordered, one ordered pan seared scallops with caramelized apple and the other ordered oysters. The women was confused as to why they were out as she thinks the occasion is due to her growing tomatoes. 

After they had their food they both exclaimed how it was even better than they had thought, then the waiter gave presented the women with a slice of cake that had a ring with 3 diamonds on it, and the man said that he'll ""always love her, and never stop loving her"". she said ""yes"" to the proposal and as the restaurant cheered she said that she had to call her dad.",None whatsoever.,,
2020-05-19 12:24:38,2020-05-19 12:27:14,IP Address,100,155,True,2020-05-19 12:27:15,R_1E0SFdf91SOAN5V,anonymous,EN,5cea26087afd86001a34a5db,Female,Not Hispanic or Latino,White,36,Yes,"There was a grocery store and it was the day before thanksgiving. He wanted to propose to his girlfriend, chloe (?). They walked around the store, he was sweaty and nervous. she was choosing items for thanksgiving. He turned around and got the ring out and they went to the check out. Their friends were waiting outside and started to come towards them. He got down on one knee and proposed, telling her he loved her. She said yes and he put the ring on her finger. She shoved it in someone's face to show them and said that she loved it and texted her mum. Their friends came over - chloe went to greet them while he paid for their shopping in cash. Then they walked out of the store talking about where they would go to celebrate. ",no,,
2020-05-19 12:31:20,2020-05-19 12:32:29,IP Address,100,69,True,2020-05-19 12:32:29,R_3qEwxmkoCzj1ph6,anonymous,EN,5deae08fe4f84020dfafac72,Male,Not Hispanic or Latino,White,31,Yes,"Meeting for a deal with regards to different types of cheeses, they agree to the deal and celebrate with some champagne",No,,
2020-05-19 12:36:20,2020-05-19 12:38:58,IP Address,100,157,True,2020-05-19 12:38:58,R_2awy3IoMa0PKP9y,anonymous,EN,5bc9e924e642db0001d3a1c5,Male,Not Hispanic or Latino,White,23,Yes,"Miss Bianchi wants to sell cheese from Italy to the store, she offers Miss Morrison to try the cheese and offers to purchase crackers which Miss Morrison picks the bill up for which is also paid by a cheque, they broker a deal which aids the store from paying excess income tax and celebrate the partnership by sharing a drink at the end.",the audio stuttered at times im not sure if it was deliberate or not,,
2020-05-19 13:17:07,2020-05-19 13:19:27,IP Address,100,139,True,2020-05-19 13:19:27,R_3stc9ope8bpIFko,anonymous,EN,5eac5376dfc1010c08a633bb,Female,Not Hispanic or Latino,White,22,Yes,"Liam and Emmanuella are going to a grocery store to buy groceries for their dinner party. When Liam asks about Emmanuella's choice of making pasta again when she picks out bowtie pasta, she replies that he never cooks. Liam says he wants to break up, because he is tired of fighting with her all the time. Emmanuella agrees, and as they move to the check out line, they decide not to tell any of their party guests they've broken up. After the 'cat's out of the bag' metaphor is used though, Liam states he will be keeping the cat Luna, but Emmanuella knows this will be a problem later on. ","No problems, was an interesting experiment.",,
2020-05-20 15:11:03,2020-05-20 15:13:03,IP Address,100,119,True,2020-05-20 15:13:03,R_3oNNcawsFg2MX0k,anonymous,EN,58af6fa166d1330001eebaab,Male,Not Hispanic or Latino,Asian,20,Yes,"Thomas and Sadie go to a restaurant because Thomas wants to break up with Sadie. This is due to his career, he does not know whether he wants to change his career path and believes they should break up. Sadie does not take this well and storms out of the restaurant",Occasionally the sound broke up but could just about hear everything,,
2020-05-20 15:15:31,2020-05-20 15:17:32,IP Address,100,120,True,2020-05-20 15:17:32,R_2PAormgJ48hyGs1,anonymous,EN,5e3f032709a1141608164346,Female,Not Hispanic or Latino,White,49,Yes,"man was reading waiting for flight; Anna rushed in, bent to tie shoelace and missed luggage cart heading towards her. Man grabbed her out of the way, then helped her to rush through security though there was a holdup thanks to a scanner. Arranged to have dinner when they both got back, and Anna made her flight by 5 minutes",no,,
2020-05-20 15:16:48,2020-05-20 15:18:25,IP Address,100,96,True,2020-05-20 15:18:25,R_Wxmm83D4Lbdp4VH,anonymous,EN,5d82994758861000188f76dc,Male,Not Hispanic or Latino,White,61,Yes,"lady trips, luggage cart almost hits her, man saves her, helps her get to gate. they realize they went to the same school at different times and he asks her to go to dinner when she gets back from her trip",no,,
2020-05-20 15:21:32,2020-05-20 15:32:20,IP Address,100,647,True,2020-05-20 15:32:20,R_Ug1iaw1yUsH1WKZ,anonymous,EN,5cc482bd8d2a1e001885c450,Male,Not Hispanic or Latino,White,52,Yes,"A cheese sales person meets a store owner in her stores cheese section for a sales call.The owner says she is hesitant to carry the cheese being sold. The sales person launches her spiel and picks out some crackers to buy to try with the cheese. The sales person shows the owner some sales info from stores that carry her cheese, showing that it increases sales of other items. The owner takes the crackers and gets some water and says she is paying. They get in line and check out. The owner pays with a check. The owner then agrees to a much larger order, and one of them pulls a bottle of champagne out of their purse.",Some keys did not work correctly. I could not type a dollar sign $.,,
2020-05-22 07:02:17,2020-05-22 07:05:16,IP Address,100,178,True,2020-05-22 07:05:16,R_2VJ8WPpOB6pP1mW,anonymous,EN,5d02c0e382e4f00001aa20cd,Female,Not Hispanic or Latino,White,49,Yes,"they were both shopping and had noticed each other, she asked him a question first and he responded, they continued shopping together and he recommended some items to her. They went to the same checkout and had a laugh at the magazines on offer. He asked her to go out to dinner with him. He paid for all the groceries. She dashed off as she was worried she was going to be late for her BBQ.",couldn't use apostrophes when answering the questions,,
